,Unnamed: 0,ape_id,Clothes,Ears,Hat,Fur,Mouth,Eyes
7588,7588.0,ApeGang #2444,Red NBA Jersey,Airpods,Flower Crown,Brown,Grin Gold,Hippie Glasses
7601,7601.0,ApeGang #2431,Cop,Bluetooth Earpiece,Pirate,Brown,Cigarette,Black Sunglasses
7633,7633.0,ApeGang #2399,Hotel Porter,Bluetooth Earpiece,Cop,Strong Dark Brown,Smoke Pipe,Crazy
7643,7643.0,ApeGang #2389,Sheriff,Silver Hoop,Party,Tiger,Flames,Closed
7649,7649.0,ApeGang #2383,Purple Hoodie,Airpods,Nurse,Brown,Baby Pacifier,Cyclops
7699,7699.0,ApeGang #2333,Batman,Gold Hoop,Stuntman Helmet,Black,Joint,Albino
7720,7720.0,ApeGang #2312,Hotel Porter,Bluetooth Earpiece,Horn,Brown,Baby Pacifier,Crazy
7751,7751.0,ApeGang #2281,Blue Hoodie,Airpods,Borsalino,Cream,Shocked,3D Glasses
7757,7757.0,ApeGang #2275,White Tank Top,Silver Hoop,Propeller,Grey,Yawn,Sad
7787,7787.0,ApeGang #2245,Orange Striped T-Shirt,Bluetooth Earpiece,Red NBA Headband,Brown,Oh,Robot Glasses
7788,7788.0,ApeGang #2244,Groom,Gold Hoop,Fisherman,Strong Dark Brown,Nose Ring,Albino
7811,7811.0,ApeGang #2221,Red Hawaiian Shirt,Gold Hoop,Propeller,Brown,Cigarette,Devil
7814,7814.0,ApeGang #2218,Pirate,Airpods,Crown,Brown,Grin Rainbow,Gold Sunglasses
7819,7819.0,ApeGang #2213,Magician,Bluetooth Earpiece,Bandana,White,Corn,Robot Glasses
7825,7825.0,ApeGang #2207,Magician,Silver Hoop,Brown Beanie,White,Grillz,Albino
7849,7849.0,ApeGang #2183,Groom,Bluetooth Earpiece,Chef's,Strong Dark Brown,Covid Mask,Strabismus
7890,7890.0,ApeGang #2142,Grey Striped T-Shirt,Airpods,Brain,Brown,Tongue Out,Alien
7902,7902.0,ApeGang #2130,Military,Diamond Stud,Viking Helmet,Brown,Snake,High
