ape_id,Clothes,Ears,Hat,Fur,Mouth,Eyes,Sum Rarity,Mean Rarity
ApeGang #7974,White Tank Top,Bluetooth Earpiece,Party,Strong Dark Brown,Corn,Robot,18.680000000000003,4.670000000000001
ApeGang #7965,Lab Coat,Diamond Stud,Magician,Brown,Corn,Crazy,51.28,12.82
ApeGang #7939,Winter Coat,Airpods,Rabbit Ears,Brown,Tongue Out,Alien,49.16,12.29
ApeGang #7922,Prison Jumpsuit,Bluetooth Earpiece,Crown,Brown,Oh,Gold Sunglasses,51.89,12.9725
ApeGang #7915,Hippie,Gold Hoop,Fisherman,Grey,Baby Pacifier,Hippie Glasses,16.91,4.2275
ApeGang #7889,Hotel Porter,Silver Hoop,Horn,Cream,Grin Gold,Gold Sunglasses,18.080000000000002,4.5200000000000005
ApeGang #7879,Hotel Porter,Bluetooth Earpiece,Horn,Brown,Cigarette,Black Sunglasses,52.019999999999996,13.004999999999999
ApeGang #7859,Pimp Coat,Bluetooth Earpiece,Top Hat,Strong Dark Brown,Cigarette,Crazy,19.330000000000002,4.8325000000000005
ApeGang #7849,Hippie,Diamond Stud,Stuntman Helmet,Black,Grin Gold,Closed,16.76,4.19
ApeGang #7845,Black Tank Top,Bluetooth Earpiece,Fisherman,Brown,Joint,Monocle,51.059999999999995,12.764999999999999
ApeGang #7824,Mexican,Airpods,Horn,White,Smoke Pipe,Black Sunglasses,13.489999999999998,3.3724999999999996
ApeGang #7814,Prison Jumpsuit,Silver Hoop,Fisherman,Brown,Joint,Crazy,51.12,12.78
ApeGang #7807,Magician,Silver Hoop,Magician,Strong Dark Brown,Joint,Robot,19.0,4.75
ApeGang #7800,Lumberjack,Silver Hoop,Brain,Tiger,Yawn,Sad,13.77,3.4425
ApeGang #7789,Black Tank Top,Silver Hoop,Sombrero,Brown,Yawn,Gold Sunglasses,52.28,13.07
ApeGang #7756,Yellow NBA Jersey,Diamond Stud,Flower Crown,Strong Dark Brown,Angry,Blind,17.470000000000002,4.367500000000001
ApeGang #7734,Orange Striped T-Shirt,Airpods,Cop,Brown,Grin Gold,3D Glasses,50.62,12.655
ApeGang #7720,Fireman,Bluetooth Earpiece,Horn,Brown,Corn,Heart,50.81999999999999,12.704999999999998
ApeGang #7700,Indian,Silver Hoop,Horn,Black,Snake,Crazy,17.27,4.3175
ApeGang #7692,Purple Hoodie,Bluetooth Earpiece,Hotel Porter,Strong Dark Brown,Grillz,Scar,19.85,4.9625
ApeGang #7685,Winter Coat,Gold Hoop,Brown Beanie,Brown,Grin Gold,Round Glasses,50.87,12.7175
ApeGang #7647,Black Suit,Bluetooth Earpiece,Sushi Chef,Black,Mustache,Heart,16.81,4.2025
ApeGang #7642,Hotel Porter,Silver Hoop,Batman,Brown,Angry,Scar,49.36,12.34
ApeGang #7632,Purple Hoodie,Gold Hoop,Brown Beanie,Black,Drool Rainbow,Sad,17.03,4.2575
ApeGang #7628,Orange Hawaiian Shirt ,Diamond Stud,Yellow NBA Headband,Brown,Bubble Gum,Crazy,50.55,12.6375
ApeGang #7615,Banana Shirt,Diamond Stud,Cowboy,Rainbow,Grin Rainbow,Closed,10.08,2.52
ApeGang #7587,Black Suit,Diamond Stud,Hippie Bandana,Strong Dark Brown,Angry,Monocle,19.270000000000003,4.817500000000001
ApeGang #7566,Mexican,Gold Hoop,Pirate,Cream,Flames,Gold Sunglasses,18.19,4.5475
ApeGang #7559,Groom,Airpods,Brain,Brown,Smoke Pipe,Closed,50.65,12.6625
ApeGang #7519,Red Hawaiian Shirt,Gold Hoop,Hippie Bandana,Brown,Cigarette,Devil,49.11000000000001,12.277500000000002
ApeGang #7511,Orange Striped T-Shirt,Airpods,Batman,Brown,Grin Gold,Bruised,49.34,12.335
ApeGang #7490,Joker,Gold Hoop,Cop,Brown,Grin Rainbow,Scar,51.120000000000005,12.780000000000001
ApeGang #7482,Blue Hoodie,Diamond Stud,Magician,Tiger,Shocked,3D Glasses,13.62,3.405
ApeGang #7480,Winter Coat,Gold Hoop,Magician,Cream,Joker,Diving Mask,13.870000000000003,3.4675000000000007
ApeGang #7462,Pimp Coat,Airpods,Pirate,Strong Dark Brown,Grin Rainbow,Cyclops,17.68,4.42
ApeGang #7450,Black Suit,Bluetooth Earpiece,Brain,Cream,Snake,Crazy,17.3,4.325
ApeGang #7402,Nurse,Gold Hoop,Magician,Brown,Grillz,Crazy,51.800000000000004,12.950000000000001
ApeGang #7385,Blue Hoodie,Airpods,Viking Helmet,Brown,Mustache,Eye Patch,50.68,12.67
ApeGang #7356,Toga,Silver Hoop,Hotel Porter,Tiger,Covid Mask,3D Glasses,12.860000000000001,3.2150000000000003
ApeGang #7330,Pirate,Bluetooth Earpiece,Yellow NBA Headband,Brown,Bubble Gum,Scar,50.559999999999995,12.639999999999999
ApeGang #7315,Mexican,Gold Hoop,Hippie Bandana,Cheetah,Bubble Gum,Crazy,11.02,2.755
ApeGang #7297,Indian,Gold Hoop,Hippie Bandana,Strong Dark Brown,Flames,Laser,17.86,4.465
ApeGang #7293,Batman,Gold Hoop,Flower Crown,Brown,Flames,Cyclops,49.64999999999999,12.412499999999998
ApeGang #7284,Iron Man,Bluetooth Earpiece,Groom,Strong Dark Brown,Covid Mask,Eye Patch,19.020000000000003,4.755000000000001
ApeGang #7282,White Tank Top,Diamond Stud,Rabbit Ears,Cream,Bubble Gum,Closed,16.17,4.0425
ApeGang #7263,Orange Striped T-Shirt,Airpods,Laurel,Brown,Flames,Sad,51.14999999999999,12.787499999999998
ApeGang #7252,Red NBA Jersey,Silver Hoop,Groom,Brown,Angry,Alien,48.989999999999995,12.247499999999999
ApeGang #7234,Purple Hoodie,Airpods,Military Helmet,Brown,Angry,Rainbow Sunglasses,49.059999999999995,12.264999999999999
ApeGang #7215,Yellow NBA Jersey,Bluetooth Earpiece,Viking Helmet,Brown,Grin Rainbow,Black Sunglasses,52.1,13.025
ApeGang #7208,Blue Hoodie,Bluetooth Earpiece,Banana,Strong Dark Brown,Yawn,Robot,18.630000000000003,4.657500000000001
ApeGang #7204,Red NBA Jersey,Silver Hoop,Stuntman Helmet,Brown,Grillz,Eye Patch,51.54,12.885
ApeGang #7171,Blue Hoodie,Diamond Stud,Top Hat,Red Devil,Corn,Scar,10.03,2.5075
ApeGang #7164,Mexican,Gold Hoop,Cop,White,Shocked,Sad,12.36,3.09
ApeGang #7162,Military,Silver Hoop,Banana,Grey,Corn,Robot Glasses,15.620000000000001,3.9050000000000002
ApeGang #7157,Joker,Gold Hoop,Cop,Brown,Yawn,Devil,49.300000000000004,12.325000000000001
ApeGang #7147,Pimp Coat,Gold Hoop,Party,Brown,Joker,Black Sunglasses,50.47,12.6175
ApeGang #7133,Black Tank Top,Gold Hoop,Hotel Porter,Tiger,Grin Gold,Albino,11.600000000000001,2.9000000000000004
ApeGang #7102,Pirate,Diamond Stud,Yellow NBA Headband,Black,Cigarette,Robot Glasses,16.259999999999998,4.0649999999999995
ApeGang #7098,Space Suit,Diamond Stud,Pirate,Strong Dark Brown,Corn,Round Glasses,19.32,4.83
ApeGang #7097,Hippie,Gold Hoop,Green Beanie,Brown,Snake,Crazy,50.849999999999994,12.712499999999999
ApeGang #7039,Pirate,Silver Hoop,Borsalino,Strong Dark Brown,Mustache,Robot,18.740000000000002,4.6850000000000005
ApeGang #6984,Yellow NBA Jersey,Bluetooth Earpiece,Halo,Grey,Corn,Black Sunglasses,17.67,4.4175
ApeGang #6972,Nurse,Diamond Stud,Viking Helmet,Grey,Beard,Squinting,14.709999999999999,3.6774999999999998
ApeGang #6965,Banana Shirt,Gold Hoop,Purple Beanie,Brown,Flames,Scar,50.9,12.725
ApeGang #6949,Lab Coat,Diamond Stud,Stuntman Helmet,Brown,Smoke Pipe,Scar,50.98,12.745
ApeGang #6937,Black Tank Top,Gold Hoop,Bandana,Brown,Flames,Round Glasses,51.17999999999999,12.794999999999998
ApeGang #6918,Orange Striped T-Shirt,Gold Hoop,Chef's,Brown,Shocked,Sad,50.7,12.675
ApeGang #6897,Toga,Gold Hoop,Sushi Chef,Brown,Covid Mask,Eye Patch,50.5,12.625
ApeGang #6882,Magician,Bluetooth Earpiece,Sushi Chef,Cream,Drool Rainbow,Monocle,16.92,4.23
ApeGang #6838,Fireman,Diamond Stud,Pirate,Zebra,Joint,Bruised,13.129999999999999,3.2824999999999998
ApeGang #6825,Pimp Coat,Silver Hoop,Stuntman Helmet,Grey,Baby Pacifier,Monocle,16.89,4.2225
ApeGang #6817,Black Suit,Gold Hoop,Green Beanie,Brown,Covid Mask,Rainbow Sunglasses,48.74999999999999,12.187499999999998
ApeGang #6796,Red NBA Jersey,Bluetooth Earpiece,Bandana,White,Corn,Rainbow Sunglasses,10.899999999999999,2.7249999999999996
ApeGang #6752,Magician,Gold Hoop,Red NBA Headband,Brown,Grillz,Rainbow Sunglasses,49.99,12.4975
ApeGang #6746,Prison Jumpsuit,Bluetooth Earpiece,Crown,Brown,Tongue Out,Bruised,50.93000000000001,12.732500000000002
ApeGang #6714,White Tank Top,Bluetooth Earpiece,Cap,Brown,Mustache,3D Glasses,50.35,12.5875
ApeGang #6664,Winter Coat,Airpods,Purple Beanie,Cream,Joint,Closed,16.310000000000002,4.077500000000001
ApeGang #6654,Magician,Diamond Stud,Sushi Chef,Brown,Nose Ring,Monocle,50.82,12.705
ApeGang #6638,Hippie,Diamond Stud,Laurel,Black,Nose Ring,Bruised,17.4,4.35
ApeGang #4931,Purple Hoodie,Silver Hoop,Pirate,Zebra,Smoke Pipe,Crazy,13.0,3.25
ApeGang #6612,Orange Hawaiian Shirt ,Airpods,Green Beanie,Brown,Corn,Robot,50.00999999999999,12.502499999999998
ApeGang #6587,Winter Coat,Gold Hoop,Party,Brown,Yawn,Crazy,50.98,12.745
ApeGang #6572,Black Tank Top,Diamond Stud,Sombrero,Zebra,Yawn,Scar,13.42,3.355
ApeGang #6550,Nurse,Gold Hoop,Sushi Chef,Brown,Tongue Out,Eye Patch,50.760000000000005,12.690000000000001
ApeGang #6537,Orange Hawaiian Shirt ,Bluetooth Earpiece,Bandana,Cream,Nose Ring,Gold Sunglasses,18.2,4.55
ApeGang #6525,Lab Coat,Bluetooth Earpiece,Hippie Bandana,Tiger,Drool Rainbow,Round Glasses,13.73,3.4325
ApeGang #6507,Prison Jumpsuit,Diamond Stud,Cop,Brown,Grillz,Gold Sunglasses,52.870000000000005,13.217500000000001
ApeGang #6505,Grey Striped T-Shirt,Silver Hoop,Magician,Cream,Flames,Hippie Glasses,17.400000000000002,4.3500000000000005
ApeGang #6481,Winter Coat,Airpods,Magician,Brown,Baby Pacifier,Sad,51.15,12.7875
ApeGang #6463,Hippie,Diamond Stud,Magician,Brown,Bubble Gum,Sad,50.58,12.645
ApeGang #6451,Blue Hoodie,Gold Hoop,Flower Crown,Brown,Grin Gold,Black Sunglasses,52.03,13.0075
ApeGang #6443,Indian,Diamond Stud,Military Helmet,Brown,Nose Ring,Gold Sunglasses,52.1,13.025
ApeGang #6438,Sheriff,Bluetooth Earpiece,Brain,Brown,Cigarette,3D Glasses,50.9,12.725
ApeGang #6432,Winter Coat,Bluetooth Earpiece,Sombrero,Cream,Tongue Out,Crazy,16.92,4.23
ApeGang #6427,Red Hawaiian Shirt,Diamond Stud,Brown Beanie,Brown,Grillz,Cyclops,49.91,12.4775
ApeGang #6411,Magician,Bluetooth Earpiece,Fisherman,Grey,Drool Rainbow,Monocle,16.79,4.1975
ApeGang #6397,Grey Striped T-Shirt,Diamond Stud,Propeller,Brown,Shocked,High,48.919999999999995,12.229999999999999
ApeGang #6396,Hippie,Silver Hoop,Green Beanie,Tiger,Covid Mask,Squinting,11.33,2.8325
ApeGang #6373,Hotel Porter,Diamond Stud,Cowboy,Brown,Baby Pacifier,Crazy,51.099999999999994,12.774999999999999
ApeGang #6350,Sheriff,Diamond Stud,Laurel,Tiger,Mustache,Robot,12.94,3.235
ApeGang #6349,Cop,Airpods,Bandana,Strong Dark Brown,Corn,Robot Glasses,18.569999999999997,4.642499999999999
ApeGang #6346,White Tank Top,Airpods,Laurel,Brown,Oh,Scar,50.849999999999994,12.712499999999999
ApeGang #6316,Black Tank Top,Silver Hoop,Chef's,Cheetah,Smoke Pipe,Gold Sunglasses,12.64,3.16
ApeGang #6310,Red Hawaiian Shirt,Diamond Stud,Top Hat,Zebra,Snake,Robot,12.45,3.1125
ApeGang #6268,Orange Striped T-Shirt,Silver Hoop,Flower Crown,Grey,Cigarette,Scar,16.830000000000002,4.2075000000000005
ApeGang #6260,Military,Gold Hoop,Cap,Brown,Grin Gold,Round Glasses,50.74999999999999,12.687499999999998
