,ape_id,canc_event_id,canc_event_time
0,ApeGang #4539,1421551888,2021-10-18T05:11:06.473055
0,ApeGang #4322,1421473678,2021-10-18T05:03:04.674649
0,ApeGang #4322,1421473685,2021-10-18T05:03:04.729866
0,ApeGang #4322,1421472598,2021-10-18T05:02:58.241620
0,ApeGang #7757,1421453646,2021-10-18T05:01:03.410147
0,ApeGang #7757,1421453359,2021-10-18T05:01:01.751948
0,ApeGang #7970,1420402479,2021-10-18T03:19:19.292474
0,ApeGang #9968,1420359639,2021-10-18T03:15:34.369500
0,ApeGang #9968,1420350934,2021-10-18T03:14:47.589505
0,ApeGang #9968,1420350894,2021-10-18T03:14:47.402448
0,ApeGang #322,1419910735,2021-10-18T02:34:58.895670
0,ApeGang #9687,1419624023,2021-10-18T02:06:18.072331
0,ApeGang #9687,1419612594,2021-10-18T02:05:11.263434
0,ApeGang #5240,1419511361,2021-10-18T01:55:23.453511
0,ApeGang #2775,1419443188,2021-10-18T01:48:13.122563
0,ApeGang #2902,1419352241,2021-10-18T01:38:04.092513
