,sale_id,ape_id,sale_price,sale_time,seller_name,seller_wallet,buyer_name,buyer_wallet
0,599710667,ApeGang #668,0.074,2021-08-22T13:18:50.587731,,0xdca043d1aa8061d6577b361de32f6ae552b30339,QUiRK,0xef528c773042f35df157a3fa0ded7c52170f9623
0,599676580,ApeGang #8732,0.075,2021-08-22T13:15:51.066347,,0x9c5c478ee186f741c35c141961c3c46ca9118d65,QUiRK,0xef528c773042f35df157a3fa0ded7c52170f9623
0,599665613,ApeGang #5823,0.075,2021-08-22T13:14:52.642140,,0x74cc96a685200df126f9b23bb46922730cec3a6a,theWesterner,0xc9d25b9a3496c776688833d6ccfe507ef4f41645
0,599654628,ApeGang #2085,0.075,2021-08-22T13:13:54.333619,,0xd9b930b96a7390615648d5916e74d37e350ac40d,QUiRK,0xef528c773042f35df157a3fa0ded7c52170f9623
0,599632296,ApeGang #8608,0.075,2021-08-22T13:11:50.434161,,0x2a3e07fc005c26efeffc84c29f38bb14c3dbbb84,QUiRK,0xef528c773042f35df157a3fa0ded7c52170f9623
0,599619396,ApeGang #9099,0.072,2021-08-22T13:10:37.582096,,0x48c90b76a83955628ba355fec9c960aef5792f75,QUiRK,0xef528c773042f35df157a3fa0ded7c52170f9623
0,599604858,ApeGang #6473,0.072,2021-08-22T13:09:13.092671,,0x48c90b76a83955628ba355fec9c960aef5792f75,QUiRK,0xef528c773042f35df157a3fa0ded7c52170f9623
0,599591673,ApeGang #677,0.07,2021-08-22T13:07:55.906981,,0x9440505f4d2a69f3b4d2e90c9bcc51e526bd7574,QUiRK,0xef528c773042f35df157a3fa0ded7c52170f9623
0,599571584,ApeGang #3174,0.07,2021-08-22T13:05:56.975612,,0x5d7dcb9f59d4e1cf96463a72e866966149df1552,QUiRK,0xef528c773042f35df157a3fa0ded7c52170f9623
0,599557694,ApeGang #7536,0.069,2021-08-22T13:04:37.363246,,0xdca043d1aa8061d6577b361de32f6ae552b30339,QUiRK,0xef528c773042f35df157a3fa0ded7c52170f9623
0,599535846,ApeGang #7044,0.069,2021-08-22T13:02:28.622195,,0xdca043d1aa8061d6577b361de32f6ae552b30339,QUiRK,0xef528c773042f35df157a3fa0ded7c52170f9623
0,599482583,ApeGang #7835,0.069,2021-08-22T12:57:08.535963,,0xdca043d1aa8061d6577b361de32f6ae552b30339,QUiRK,0xef528c773042f35df157a3fa0ded7c52170f9623
0,599420939,ApeGang #7057,0.069,2021-08-22T12:51:19.347232,,0xdca043d1aa8061d6577b361de32f6ae552b30339,NFTRookie1,0x6c8d771691d1d91d77425073e6bcafde0532ae85
0,599376805,ApeGang #2921,0.07,2021-08-22T12:47:06.036404,,0xf9606bb98fc76bf45eb6993450ca2fc59b7889ac,QUiRK,0xef528c773042f35df157a3fa0ded7c52170f9623
0,599243582,ApeGang #4268,0.07,2021-08-22T12:34:17.185158,,0x74cc96a685200df126f9b23bb46922730cec3a6a,QUiRK,0xef528c773042f35df157a3fa0ded7c52170f9623
0,599214452,ApeGang #1976,0.07,2021-08-22T12:31:09.159343,,0xaeafb0e2be7b13fb0df2bc5fa1436d53020f17e7,QUiRK,0xef528c773042f35df157a3fa0ded7c52170f9623
0,599194632,ApeGang #6595,0.07,2021-08-22T12:28:49.307140,,0x230dc5b752d2a814ba678781d850f4c2701317bc,QUiRK,0xef528c773042f35df157a3fa0ded7c52170f9623
0,599185128,ApeGang #1377,0.07,2021-08-22T12:27:41.376344,,0x9440505f4d2a69f3b4d2e90c9bcc51e526bd7574,QUiRK,0xef528c773042f35df157a3fa0ded7c52170f9623
0,599173721,ApeGang #8192,0.069,2021-08-22T12:26:21.468150,,0x9440505f4d2a69f3b4d2e90c9bcc51e526bd7574,QUiRK,0xef528c773042f35df157a3fa0ded7c52170f9623
0,599144728,ApeGang #6744,0.065,2021-08-22T12:22:54.672115,,0xefee7fd9af43945e7b7d9655592600a6a63eff0d,grake,0xbad858a0cf09f210fcf35cbf83569178879b47f2
0,599054920,ApeGang #8024,0.2,2021-08-22T12:13:36.431875,,0x6b3bacba7a6da1d6660079f5fd49fdc167ec5783,AndyGump,0xdb517690de79eec1386c739fa0bf7edb289345e1
0,599040304,ApeGang #7979,0.06,2021-08-22T12:11:44.713942,,0xdca043d1aa8061d6577b361de32f6ae552b30339,QUiRK,0xef528c773042f35df157a3fa0ded7c52170f9623
