,ape_id,Clothes,Ears,Hat,Fur,Mouth,Eyes
174,ApeGang #9836,Winter Coat,,Crown,Brown,Drool Rainbow,
175,ApeGang #9835,Hotel Porter,,Military Helmet,Grey,,Monocle
176,ApeGang #9834,Nurse,,Laurel,Brown,Tongue Out,
177,ApeGang #9833,Prison Jumpsuit,,Cop,White,Snake,3D Glasses
178,ApeGang #9832,Lab Coat,Bluetooth Earpiece,Bandana,Brown,Grin Rainbow,Gold Sunglasses
179,ApeGang #9831,Nurse,,Rabbit Ears,Brown,,Round Glasses
180,ApeGang #9830,,Airpods,Fisherman,Zebra,Beard,Albino
181,ApeGang #9829,Black Tank Top,,Propeller,Tiger,Tongue Out,Gold Sunglasses
182,ApeGang #9828,Magician,,Pirate,Brown,Bubble Gum,Sad
183,ApeGang #9827,White Tank Top,,Green Beanie,Black,Grin Gold,Eye Patch
184,ApeGang #9826,Lumberjack,,Hippie Bandana,Cream,,
185,ApeGang #9825,Groom,,Brain,Zebra,Beard,
186,ApeGang #9824,,,Fisherman,Strong Dark Brown,Bubble Gum,
187,ApeGang #9823,,,Hippie Bandana,Zebra,Flames,Robot
188,ApeGang #9822,,,Magician,Brown,Oh,
189,ApeGang #9821,Space Suit,,Halo,Brown,Corn,Robot Glasses
190,ApeGang #9820,,,Hippie Bandana,Tiger,Tongue Out,Laser
191,ApeGang #9819,Fireman,,War Bonnet,Brown,Covid Mask,
192,ApeGang #9818,Grey Striped T-Shirt,,Cowboy,Strong Dark Brown,Shocked,Gold Sunglasses
193,ApeGang #9817,Hippie,,,Brown,,Robot
194,ApeGang #9816,,Airpods,,Strong Dark Brown,Grin Rainbow,
195,ApeGang #9815,Purple Hoodie,Gold Hoop,Laurel,Grey,,
196,ApeGang #9814,,,War Bonnet,White,Mustache,
197,ApeGang #9813,Military,,Fireman,Zebra,,
198,ApeGang #9812,Black Suit,,Hippie Bandana,Rainbow,,Eye Patch
199,ApeGang #9811,Joker,,Bandana,Brown,Flames,Squinting
200,ApeGang #9810,Yellow NBA Jersey,,Viking Helmet,Brown,Grillz,
201,ApeGang #9809,Cop,,Red NBA Headband,Strong Dark Brown,,
202,ApeGang #9808,,,Halo,Cream,Corn,
203,ApeGang #9807,Hotel Porter,Gold Hoop,Cop,Strong Dark Brown,,Scar
204,ApeGang #9806,Black Tank Top,,War Bonnet,Rainbow,Drool Rainbow,3D Glasses
205,ApeGang #9805,,Gold Hoop,Laurel,Red Devil,Joker,Hippie Glasses
206,ApeGang #9804,Sheriff,,Magician,Tiger,Flames,Bruised
207,ApeGang #9803,Hotel Porter,,Yellow NBA Headband,Brown,,Sad
208,ApeGang #9802,White Tank Top,,,Brown,Joker,
209,ApeGang #9801,White Tank Top,Diamond Stud,Bandana,Strong Dark Brown,,
210,ApeGang #9800,Groom,,Crown,White,Smoke Pipe,Black Sunglasses
